DATE ,PV. NO.,CHEQUE NO.,PAYEE,DESCRIPTION,CATEGORY, EXPENSE TYPE , AMOUNT , TAX WITHHELD ,P.V,MEMO,PERIOD
18/01/2016,1519252,478365,GRA,PAYE for casual workers (January 2020),LABOUR COST,SSF Contribution,127.13,3.81,NO,YES,01/01/2020 -31/12/2020
01/04/2016,1519318,478459,GRA,PAYE for casual workers (March 2020),LABOUR COST,SSF Contribution,156.28,4.69,NO,NO,01/01/2020 -31/12/2020
05/05/2016,1519358,478485,GRA,PAYE for casual workers (April 2020),LABOUR COST,SSF Contribution,156.28,4.69,NO,NO,01/01/2020 -31/12/2020
10/05/2016,1519369,478490,DE- DOT SERVICE,Servicing of Photocopy,EQUIPMENT RUNNING COST,Repairs and Maintenance of Equipments,750,22.5,NO,YES,01/01/2020 -31/12/2020
20/05/2016,1519398,478514,RMS,Non -Drugs supplied,NON-MEDICINE,Non-Medicine Consumables,6966.8,209,NO,YES,01/01/2020 -31/12/2020
27/05/2016,1519409,478520,MED. SUPT,Payment of monthly Per diem to HIV Co-ord,PERSONNEL ALLOWANCE,Other Allowances,100,3,NO,YES,01/01/2020 -31/12/2020
27/05/2015,1519404,478520,MED. SUPT,Casual workers allowance for May 2020,LABOUR COST,Casual Wages,8410.28,252.31,NO,YES,01/01/2020 -31/12/2020
27/05/2016,1519408,478520,MED. SUPT,Allowance to staff for the month of may 2020,PERSONNEL ALLOWANCE,Other Allowances,1050,31.5,NO,YES,01/01/2020 -31/12/2020
27/05/2016,1519407,478523,GRA,PAYE for casual workers (May 2020),LABOUR COST,SSF Contribution,189.22,5.68,NO,YES,01/01/2020 -31/12/2020
30/05/2016,1519411,478524,GRA,W/H Taxes ,TAX,Withholding TAX,5351.7,160.55,NO,YES,01/01/2020 -31/12/2020
07/06/2016,1519420,478526,MED. SUPT,Funeral donation,STAFF SUPPORT,"Donations (Funeral, Wedding and others)",150,4.5,NO,NO,01/01/2020 -31/12/2020
07/06/2016,1519420,478526,MED. SUPT,T & T for funeral,PERSONNEL ALLOWANCE,Travel Allowances,50,1.5,NO,NO,01/01/2020 -31/12/2020
07/06/2016,1519423,478527,MED. SUPT,Recoupment of Imprest,GENERAL EXPENDITURE,Imprest,195,5.85,YES,NO,01/01/2020 -31/12/2020
07/06/2016,1519416,478528,TOTAL PETROLEUM,Fuel for Plant,EQUIPMENT RUNNING COST,Fuel for GENSET,521.24,15.64,YES,NO,01/01/2020 -31/12/2020
07/06/2016,1519416,478528,TOTAL PETROLEUM,Fuel for official vehicles,RUNNING COST OF OFFICIAL VEHICLE,Fuel and Lubricants of Official Vehicle,892.46,26.77,YES,NO,01/01/2020 -31/12/2020
07/06/2016,1519421,478529,ELECTRICITY CO,Utility bills for Dr. Osei Frimpong ,GENERAL EXPENDITURE,Utilities,637.28,19.12,YES,NO,01/01/2020 -31/12/2020
23/05/2016,1519402,478535,MED. SUPT,Full payment of installation & drilling of borehole,CAPITAL PROJECTS,Other Capital Projects,3880,116.4,YES,NO,01/01/2020 -31/12/2020
23/05/2016,1519401,478518,MED. SUPT,Part payment of installation & drilling of borehole,CAPITAL PROJECTS,Other Capital Projects,7760,232.8,YES,NO,01/01/2020 -31/12/2020
07/06/2016,1519418,478530,AIR LIQUIDE,Supply Oxygen ,NON-MEDICINE,Other,523,15.69,YES,NO,01/01/2020 -31/12/2020
